SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,13CN,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,13CN,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24.56,5,10,13CN,7.5,670,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,14798.8
3,38.384,32,10,13CN,7.5,670,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,13112.6
4,45.552,46,10,13CN,7.5,670,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,9331.37
5,39.408,34,10,13CN,7.5,670,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,8810.47
6,40.944,37,10,13CN,7.5,670,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,8332.82
7,41.968,39,10,13CN,7.5,670,0,0,1238,0,0,0,0,0,0,0,0,0,0,0,7801.63
8,41.968,39,10,13CN,7.5,670,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,6954.68
9,42.48,40,10,13CN,7.5,670,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,6716.56
10,42.48,40,10,13CN,7.5,670,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,6496.92
11,42.48,40,10,13CN,7.5,670,0,0,1299,0,0,0,0,0,0,0,0,0,0,0,6294.61
12,41.456,38,10,13CN,7.5,670,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,6077.59
13,42.48,40,10,13CN,7.5,670,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,5683.14
14,42.48,40,10,13CN,7.5,670,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,5520.15
15,41.968,39,10,13CN,7.5,670,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,5293.37
16,42.48,40,10,13CN,7.5,670,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,5041.72
17,42.48,40,10,13CN,7.5,670,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,4919.43
18,42.48,40,10,13CN,7.5,670,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,4805.48
19,42.48,40,10,13CN,7.5,670,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,4690.08
20,42.48,40,10,13CN,7.5,670,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,4580.02
21,42.48,40,10,13CN,7.5,670,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,4480.7
22,42.48,40,10,13CN,7.5,670,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,4382.12
23,42.48,40,10,13CN,7.5,670,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,4287.07
24,40.944,37,10,13CN,7.5,670,0,0,918,0,0,0,0,0,0,0,0,0,0,0,4141.34
25,42.48,40,10,13CN,7.5,670,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,4001.96
26,42.48,40,10,13CN,7.5,670,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,3846.79
27,40.944,37,10,13CN,7.5,670,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,3743.46
28,40.944,37,10,13CN,7.5,670,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,3563.99
29,39.92,35,10,13CN,7.5,670,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,3426.13
30,36.848,29,10,13CN,7.5,670,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,3270.49
31,39.408,34,10,13CN,7.5,670,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,3159.13
32,40.432,36,10,13CN,7.5,670,0,0,1240,0,0,0,0,0,0,0,0,0,0,0,3093.29
33,41.456,38,10,13CN,7.5,670,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,3026.01
34,42.48,40,10,13CN,7.5,670,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,2984.27
35,42.48,40,10,13CN,7.5,670,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,2946.62
36,42.48,40,10,13CN,7.5,670,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,2898.18
37,41.456,38,10,13CN,7.5,670,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,2851.75
38,41.456,38,10,13CN,7.5,670,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,2781.27
39,39.92,35,10,13CN,7.5,670,0,0,1352,0,0,0,0,0,0,0,0,0,0,0,2692.47
40,40.432,36,10,13CN,7.5,670,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,2624.18
41,42.48,40,10,13CN,7.5,670,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,2581.21
42,40.432,36,10,13CN,7.5,670,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,2546.5
43,40.432,36,10,13CN,7.5,670,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,2513.01
44,40.432,36,10,13CN,7.5,670,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,2480.82
45,40.432,36,10,13CN,7.5,670,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,2448.13
46,40.432,36,10,13CN,7.5,670,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,2410.82
47,40.432,36,10,13CN,7.5,670,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,2381.81
48,40.432,36,10,13CN,7.5,670,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,2354.15
49,40.432,36,10,13CN,7.5,670,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,2326.51
50,40.432,36,10,13CN,7.5,670,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,2300.28
51,40.432,36,10,13CN,7.5,670,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,2274.06
52,40.432,36,10,13CN,7.5,670,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,2248.79
53,40.432,36,10,13CN,7.5,670,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,2220.06
54,40.432,36,10,13CN,7.5,670,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,2192.48
55,39.408,34,10,13CN,7.5,670,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,2162.97
56,40.432,36,10,13CN,7.5,670,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,2132.45
57,40.432,36,10,13CN,7.5,670,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,2108.53
58,40.432,36,10,13CN,7.5,670,0,0,998,0,0,0,0,0,0,0,0,0,0,0,2078.87
59,42.48,40,10,13CN,7.5,670,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,2064.61
60,41.456,38,10,13CN,7.5,670,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,2046.46
61,42.48,40,10,13CN,7.5,670,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,2016.9
62,42.992,41,10,13CN,7.5,670,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,2004.57
63,42.48,40,10,13CN,7.5,670,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,1992.12
64,41.968,39,10,13CN,7.5,670,0,0,1240,0,0,0,0,0,0,0,0,0,0,0,1980.23
65,41.456,38,10,13CN,7.5,670,0,0,1240,0,0,0,0,0,0,0,0,0,0,0,1966.13
66,40.944,37,10,13CN,7.5,670,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,1939.09
67,42.48,40,10,13CN,7.5,670,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,1919.03
68,42.48,40,10,13CN,7.5,670,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,1907.83
69,42.48,40,10,13CN,7.5,670,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,1894.84
70,40.432,36,10,13CN,7.5,670,0,0,1457,0,0,0,0,0,0,0,0,0,0,0,1868.89
71,42.992,41,10,13CN,7.5,670,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,1844.42
72,42.48,40,10,13CN,7.5,670,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,1833.16
