SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.536,3,10,protocol,7.5,670,4682,6.98806,792,705,0.890152,0.852008,0.773422,0.569858,0.40369,0.31751,0.267405,0.267405,0.267405,0.267405,0.0784939
3,9.216,18,10,protocol,7.5,670,4724,7.05075,854,787,0.921546,0.844151,0.756868,0.552172,0.398717,0.31291,0.26724,0.26724,0.26724,0.26724,0.119522
4,10.24,20,10,protocol,7.5,670,4790,7.14925,953,837,0.878279,0.824505,0.73166,0.545974,0.392077,0.310797,0.267658,0.267658,0.267658,0.267658,0.135145
5,13.312,26,10,protocol,7.5,670,4944,7.3791,998,895,0.896794,0.845324,0.745057,0.549783,0.397045,0.316578,0.274819,0.274819,0.274819,0.274819,0.13558
6,14.848,29,10,protocol,7.5,670,5160,7.70149,971,864,0.889804,0.825768,0.726328,0.554287,0.408163,0.327536,0.28361,0.28361,0.28361,0.28361,0.135702
7,14.848,29,10,protocol,7.5,670,5272,7.86866,988,859,0.869433,0.813153,0.719126,0.552607,0.409476,0.333671,0.286615,0.286615,0.286615,0.286615,0.134403
8,12.288,24,10,protocol,7.5,670,5284,7.88657,914,819,0.896061,0.796764,0.702036,0.544346,0.406555,0.333586,0.284285,0.284285,0.284285,0.284285,0.136115
9,10.752,21,10,protocol,7.5,670,5579,8.32687,926,861,0.929806,0.83567,0.722634,0.568353,0.425131,0.34732,0.295482,0.295482,0.295482,0.295482,0.137573
10,12.288,24,10,protocol,7.5,670,5674,8.46866,1010,889,0.880198,0.825402,0.710111,0.568545,0.428065,0.348055,0.298773,0.298773,0.298773,0.298773,0.135088
11,12.288,24,10,protocol,7.5,670,5830,8.70149,1049,933,0.889418,0.822524,0.727951,0.572117,0.438148,0.351015,0.305828,0.305828,0.305828,0.305828,0.13245
12,11.264,22,10,protocol,7.5,670,5576,8.32239,1022,909,0.889432,0.794679,0.703554,0.544476,0.415964,0.329239,0.287467,0.287467,0.287467,0.287467,0.133265
13,10.24,20,10,protocol,7.5,670,5567,8.30896,974,852,0.874743,0.789488,0.69631,0.542131,0.405403,0.32588,0.284393,0.284393,0.284393,0.284393,0.137588
14,10.752,21,10,protocol,7.5,670,5705,8.51493,970,870,0.896907,0.805602,0.71567,0.554075,0.409813,0.328364,0.289154,0.289154,0.289154,0.289154,0.138238
