SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower WavePktsSent WavePtksReceived WavePktsPpr ExpectedWavePktsReceived ExpectedWavePktsInCoverageReceived BSM_PDR1 BSM_PDR2 BSM_PDR3 BSM_PDR4 BSM_PDR5 BSM_PDR6 BSM_PDR7 BSM_PDR8 BSM_PDR9 BSM_PDR10 MacPhyOverhead
0 0 0 10 protocol 7.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 10 protocol 7.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2 2.56 5 10 protocol 7.5 670 7287 10.8761 792 635 0.801768 0.715645 0.647197 0.600269 0.54337 0.480334 0.416186 0.416186 0.416186 0.416186 0.103451
3 10.24 20 10 protocol 7.5 670 7314 10.9164 854 690 0.807963 0.697327 0.626051 0.571261 0.525321 0.470623 0.413758 0.413758 0.413758 0.413758 0.130457
4 11.776 23 10 protocol 7.5 670 7485 11.1716 953 752 0.789087 0.695135 0.62589 0.574909 0.525988 0.4721 0.41825 0.41825 0.41825 0.41825 0.140644
5 15.872 31 10 protocol 7.5 670 8126 12.1284 998 785 0.786573 0.702158 0.632721 0.59137 0.55204 0.50413 0.451695 0.451695 0.451695 0.451695 0.142604
6 17.408 34 10 protocol 7.5 670 7326 10.9343 971 762 0.784758 0.663408 0.587733 0.542439 0.502215 0.452266 0.40266 0.40266 0.40266 0.40266 0.138217
7 14.336 28 10 protocol 7.5 670 7247 10.8164 988 743 0.752024 0.641484 0.569295 0.532807 0.498796 0.446709 0.393987 0.393987 0.393987 0.393987 0.145403
8 19.456 38 10 protocol 7.5 670 7453 11.1239 914 714 0.781182 0.656634 0.586521 0.544759 0.507656 0.458333 0.400979 0.400979 0.400979 0.400979 0.146374
9 13.824 27 10 protocol 7.5 670 7282 10.8687 926 696 0.75162 0.64656 0.564669 0.533156 0.492799 0.44313 0.385679 0.385679 0.385679 0.385679 0.145951
10 12.8 25 10 protocol 7.5 670 8060 12.0299 1010 795 0.787129 0.684796 0.604513 0.574872 0.532403 0.482456 0.424412 0.424412 0.424412 0.424412 0.146269
11 24.064 47 10 protocol 7.5 670 8355 12.4701 1049 836 0.796949 0.686026 0.61957 0.585203 0.546746 0.489253 0.438284 0.438284 0.438284 0.438284 0.1426
12 10.24 20 10 protocol 7.5 670 7270 10.8507 1022 740 0.72407 0.609601 0.545114 0.509052 0.476016 0.421115 0.3748 0.3748 0.3748 0.3748 0.139945
13 10.752 21 10 protocol 7.5 670 8091 12.0761 974 737 0.756674 0.655048 0.594984 0.55826 0.516094 0.462038 0.413333 0.413333 0.413333 0.413333 0.141833
14 5.632 11 10 protocol 7.5 670 7003 10.4522 970 634 0.653608 0.592157 0.514172 0.480354 0.443934 0.396857 0.354942 0.354942 0.354942 0.354942 0.139284
