SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5.12,10,10,protocol,7.5,670,7115,10.6194,792,649,0.819444,0.714235,0.638377,0.583048,0.528539,0.468127,0.406362,0.406362,0.406362,0.406362,0.364584
3,15.872,31,10,protocol,7.5,670,7436,11.0985,854,631,0.738876,0.697327,0.641562,0.590936,0.54448,0.482679,0.42066,0.42066,0.42066,0.42066,0.243005
4,15.872,31,10,protocol,7.5,670,7583,11.3179,953,756,0.793284,0.715676,0.642806,0.593893,0.54195,0.479042,0.423726,0.423726,0.423726,0.423726,0.191797
5,12.8,25,10,protocol,7.5,670,7479,11.1627,998,777,0.778557,0.680216,0.602275,0.559371,0.517989,0.465646,0.415731,0.415731,0.415731,0.415731,0.164396
6,12.288,24,10,protocol,7.5,670,6933,10.3478,971,734,0.755922,0.630936,0.559913,0.518634,0.481965,0.429732,0.38106,0.38106,0.38106,0.38106,0.147117
7,11.264,22,10,protocol,7.5,670,7501,11.1955,988,797,0.80668,0.6914,0.602216,0.55861,0.512932,0.463038,0.407796,0.407796,0.407796,0.407796,0.135413
8,8.192,16,10,protocol,7.5,670,7122,10.6299,914,707,0.773523,0.642395,0.565083,0.522741,0.485266,0.439078,0.383171,0.383171,0.383171,0.383171,0.12728
9,8.192,16,10,protocol,7.5,670,7385,11.0224,926,718,0.775378,0.656342,0.579057,0.538053,0.498285,0.448297,0.391134,0.391134,0.391134,0.391134,0.120996
10,8.192,16,10,protocol,7.5,670,7407,11.0552,1010,776,0.768317,0.647095,0.558513,0.526765,0.493851,0.44424,0.390027,0.390027,0.390027,0.390027,0.116128
11,8.192,16,10,protocol,7.5,670,7296,10.8896,1049,806,0.768351,0.649469,0.570426,0.52558,0.485195,0.428262,0.382731,0.382731,0.382731,0.382731,0.112316
12,7.68,15,10,protocol,7.5,670,7502,11.197,1022,780,0.763209,0.631868,0.561951,0.52559,0.487728,0.432333,0.386761,0.386761,0.386761,0.386761,0.109276
13,6.144,12,10,protocol,7.5,670,7524,11.2299,974,723,0.7423,0.626833,0.557509,0.523167,0.484707,0.430662,0.384368,0.384368,0.384368,0.384368,0.106975
14,6.144,12,10,protocol,7.5,670,7978,11.9075,970,772,0.795876,0.651821,0.581583,0.542599,0.499892,0.450673,0.404359,0.404359,0.404359,0.404359,0.104988
