SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.56,5,10,protocol,7.5,670,4825,7.20149,792,701,0.885101,0.86117,0.786554,0.586834,0.41602,0.327207,0.275573,0.275573,0.275573,0.275573,0.360344
3,7.68,15,10,protocol,7.5,670,4903,7.31791,854,800,0.936768,0.8563,0.762474,0.573135,0.413825,0.324767,0.277366,0.277366,0.277366,0.277366,0.23961
4,6.656,13,10,protocol,7.5,670,4968,7.41493,953,851,0.89297,0.847568,0.756766,0.566217,0.406646,0.322346,0.277604,0.277604,0.277604,0.277604,0.189741
5,6.144,12,10,protocol,7.5,670,5083,7.58657,998,882,0.883768,0.835252,0.748731,0.564165,0.408208,0.325479,0.282546,0.282546,0.282546,0.282546,0.161988
6,6.144,12,10,protocol,7.5,670,5138,7.66866,971,824,0.84861,0.809358,0.723479,0.551163,0.406423,0.326139,0.282401,0.282401,0.282401,0.282401,0.14456
7,4.608,9,10,protocol,7.5,670,5140,7.67164,988,896,0.906883,0.811467,0.705958,0.540179,0.399223,0.325316,0.279439,0.279439,0.279439,0.279439,0.132763
8,4.096,8,10,protocol,7.5,670,5503,8.21343,914,836,0.914661,0.824919,0.727175,0.566674,0.423405,0.347412,0.296067,0.296067,0.296067,0.296067,0.124235
9,2.048,4,10,protocol,7.5,670,5543,8.27313,926,849,0.916847,0.82491,0.711362,0.564171,0.422388,0.345079,0.293576,0.293576,0.293576,0.293576,0.118024
10,2.048,4,10,protocol,7.5,670,5633,8.40746,1010,895,0.886139,0.810878,0.70013,0.564829,0.424972,0.34554,0.296614,0.296614,0.296614,0.296614,0.113242
11,2.048,4,10,protocol,7.5,670,5645,8.42537,1049,926,0.882745,0.792158,0.707328,0.554211,0.424245,0.339876,0.296123,0.296123,0.296123,0.296123,0.109488
12,2.048,4,10,protocol,7.5,670,5926,8.84478,1022,928,0.908023,0.829381,0.741258,0.578432,0.442074,0.349906,0.305511,0.305511,0.305511,0.305511,0.106416
13,2.048,4,10,protocol,7.5,670,5655,8.4403,974,862,0.88501,0.787275,0.704382,0.550538,0.411812,0.331031,0.288889,0.288889,0.288889,0.288889,0.103829
14,2.048,4,10,protocol,7.5,670,5929,8.84925,970,887,0.914433,0.830532,0.746512,0.575958,0.425903,0.341257,0.300507,0.300507,0.300507,0.300507,0.101618
