SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.608,9,10,protocol,7.5,670,0,0,792,0,0,0,0,0,0,0,0,0,0,0,11442.4
3,14.336,28,10,protocol,7.5,670,0,0,854,0,0,0,0,0,0,0,0,0,0,0,10032.9
4,18.432,36,10,protocol,7.5,670,0,0,953,0,0,0,0,0,0,0,0,0,0,0,7962.22
5,16.384,32,10,protocol,7.5,670,0,0,998,0,0,0,0,0,0,0,0,0,0,0,7659.79
6,15.872,31,10,protocol,7.5,670,0,0,971,0,0,0,0,0,0,0,0,0,0,0,7265.35
7,14.336,28,10,protocol,7.5,670,0,0,988,0,0,0,0,0,0,0,0,0,0,0,6857.75
8,14.336,28,10,protocol,7.5,670,0,0,914,0,0,0,0,0,0,0,0,0,0,0,6141.87
9,13.312,26,10,protocol,7.5,670,0,0,926,0,0,0,0,0,0,0,0,0,0,0,5766.96
10,13.312,26,10,protocol,7.5,670,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,5316.39
11,13.312,26,10,protocol,7.5,670,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,5036.97
12,13.312,26,10,protocol,7.5,670,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,4752.16
13,13.824,27,10,protocol,7.5,670,0,0,974,0,0,0,0,0,0,0,0,0,0,0,4526.99
14,12.288,24,10,protocol,7.5,670,0,0,970,0,0,0,0,0,0,0,0,0,0,0,4314.73
15,12.288,24,10,protocol,7.5,670,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,4087.04
16,10.752,21,10,protocol,7.5,670,0,0,984,0,0,0,0,0,0,0,0,0,0,0,3817.96
17,10.24,20,10,protocol,7.5,670,0,0,904,0,0,0,0,0,0,0,0,0,0,0,3486.19
18,12.288,24,10,protocol,7.5,670,0,0,898,0,0,0,0,0,0,0,0,0,0,0,3275.84
19,8.704,17,10,protocol,7.5,670,0,0,863,0,0,0,0,0,0,0,0,0,0,0,3009.67
20,8.192,16,10,protocol,7.5,670,0,0,882,0,0,0,0,0,0,0,0,0,0,0,2797.82
21,9.728,19,10,protocol,7.5,670,0,0,868,0,0,0,0,0,0,0,0,0,0,0,2603.23
22,6.656,13,10,protocol,7.5,670,0,0,763,0,0,0,0,0,0,0,0,0,0,0,2398.14
23,7.68,15,10,protocol,7.5,670,0,0,752,0,0,0,0,0,0,0,0,0,0,0,2248.2
24,8.192,16,10,protocol,7.5,670,0,0,668,0,0,0,0,0,0,0,0,0,0,0,2115.2
25,8.192,16,10,protocol,7.5,670,0,0,774,0,0,0,0,0,0,0,0,0,0,0,1991.64
26,7.68,15,10,protocol,7.5,670,0,0,872,0,0,0,0,0,0,0,0,0,0,0,1879.04
27,7.168,14,10,protocol,7.5,670,0,0,926,0,0,0,0,0,0,0,0,0,0,0,1796
28,2.048,4,10,protocol,7.5,670,0,0,793,0,0,0,0,0,0,0,0,0,0,0,1686.07
29,4.608,9,10,protocol,7.5,670,0,0,820,0,0,0,0,0,0,0,0,0,0,0,1570.8
30,6.144,12,10,protocol,7.5,670,0,0,866,0,0,0,0,0,0,0,0,0,0,0,1482.58
