SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower WavePktsSent WavePtksReceived WavePktsPpr ExpectedWavePktsReceived ExpectedWavePktsInCoverageReceived BSM_PDR1 BSM_PDR2 BSM_PDR3 BSM_PDR4 BSM_PDR5 BSM_PDR6 BSM_PDR7 BSM_PDR8 BSM_PDR9 BSM_PDR10 MacPhyOverhead
0 0 0 10 protocol 7.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 10 protocol 7.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2.56 5 10 protocol 7.5 670 0 0 792 0 0 0 0 0 0 0 0 0 0 0 14798.8
3 16.384 32 10 protocol 7.5 670 0 0 854 0 0 0 0 0 0 0 0 0 0 0 13112.6
4 23.552 46 10 protocol 7.5 670 0 0 953 0 0 0 0 0 0 0 0 0 0 0 9331.37
5 17.408 34 10 protocol 7.5 670 0 0 998 0 0 0 0 0 0 0 0 0 0 0 8810.47
6 18.944 37 10 protocol 7.5 670 0 0 971 0 0 0 0 0 0 0 0 0 0 0 8332.82
7 19.968 39 10 protocol 7.5 670 0 0 988 0 0 0 0 0 0 0 0 0 0 0 7801.63
8 19.968 39 10 protocol 7.5 670 0 0 914 0 0 0 0 0 0 0 0 0 0 0 6954.68
9 20.48 40 10 protocol 7.5 670 0 0 926 0 0 0 0 0 0 0 0 0 0 0 6716.56
10 20.48 40 10 protocol 7.5 670 0 0 1010 0 0 0 0 0 0 0 0 0 0 0 6496.92
11 20.48 40 10 protocol 7.5 670 0 0 1049 0 0 0 0 0 0 0 0 0 0 0 6294.61
12 19.456 38 10 protocol 7.5 670 0 0 1022 0 0 0 0 0 0 0 0 0 0 0 6077.59
13 20.48 40 10 protocol 7.5 670 0 0 974 0 0 0 0 0 0 0 0 0 0 0 5683.14
14 20.48 40 10 protocol 7.5 670 0 0 970 0 0 0 0 0 0 0 0 0 0 0 5520.15
15 19.968 39 10 protocol 7.5 670 0 0 1027 0 0 0 0 0 0 0 0 0 0 0 5293.37
16 20.48 40 10 protocol 7.5 670 0 0 984 0 0 0 0 0 0 0 0 0 0 0 5041.72
17 20.48 40 10 protocol 7.5 670 0 0 904 0 0 0 0 0 0 0 0 0 0 0 4919.43
18 20.48 40 10 protocol 7.5 670 0 0 898 0 0 0 0 0 0 0 0 0 0 0 4805.48
19 20.48 40 10 protocol 7.5 670 0 0 863 0 0 0 0 0 0 0 0 0 0 0 4690.08
20 20.48 40 10 protocol 7.5 670 0 0 882 0 0 0 0 0 0 0 0 0 0 0 4580.02
21 20.48 40 10 protocol 7.5 670 0 0 868 0 0 0 0 0 0 0 0 0 0 0 4480.7
22 20.48 40 10 protocol 7.5 670 0 0 763 0 0 0 0 0 0 0 0 0 0 0 4382.12
23 20.48 40 10 protocol 7.5 670 0 0 752 0 0 0 0 0 0 0 0 0 0 0 4287.07
24 18.944 37 10 protocol 7.5 670 0 0 668 0 0 0 0 0 0 0 0 0 0 0 4141.34
25 20.48 40 10 protocol 7.5 670 0 0 774 0 0 0 0 0 0 0 0 0 0 0 4001.96
26 20.48 40 10 protocol 7.5 670 0 0 872 0 0 0 0 0 0 0 0 0 0 0 3846.79
27 18.944 37 10 protocol 7.5 670 0 0 926 0 0 0 0 0 0 0 0 0 0 0 3743.46
28 18.944 37 10 protocol 7.5 670 0 0 793 0 0 0 0 0 0 0 0 0 0 0 3563.99
29 17.92 35 10 protocol 7.5 670 0 0 820 0 0 0 0 0 0 0 0 0 0 0 3426.13
30 14.848 29 10 protocol 7.5 670 0 0 866 0 0 0 0 0 0 0 0 0 0 0 3270.49
