SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,670,7556,11.2776,792,645,0.814394,0.725863,0.661113,0.609184,0.557682,0.497152,0.431549,0.431549,0.431549,0.431549,0.0556992
3,4.608,9,10,protocol,7.5,670,7036,10.5015,854,649,0.759953,0.664006,0.596898,0.554632,0.510044,0.454196,0.398031,0.398031,0.398031,0.398031,0.0633843
4,6.144,12,10,protocol,7.5,670,7584,11.3194,953,758,0.795383,0.700541,0.623754,0.582228,0.537775,0.480275,0.423782,0.423782,0.423782,0.423782,0.0588528
5,8.192,16,10,protocol,7.5,670,7173,10.706,998,763,0.764529,0.660432,0.586177,0.544431,0.503614,0.448486,0.398722,0.398722,0.398722,0.398722,0.0625811
6,8.192,16,10,protocol,7.5,670,7488,11.1761,971,801,0.824923,0.69588,0.599799,0.554502,0.516137,0.463374,0.411564,0.411564,0.411564,0.411564,0.0604704
7,9.728,19,10,protocol,7.5,670,7229,10.7896,988,739,0.747976,0.650253,0.566565,0.525224,0.490097,0.444684,0.393009,0.393009,0.393009,0.393009,0.0629261
8,10.24,20,10,protocol,7.5,670,7256,10.8299,914,713,0.780088,0.65178,0.5748,0.533492,0.493422,0.446591,0.39038,0.39038,0.39038,0.39038,0.0616584
9,9.216,18,10,protocol,7.5,670,7138,10.6537,926,724,0.781857,0.641343,0.564669,0.526219,0.48434,0.433481,0.378052,0.378052,0.378052,0.378052,0.0632957
10,10.752,21,10,protocol,7.5,670,7764,11.5881,1010,793,0.785149,0.672435,0.587444,0.554986,0.513693,0.463992,0.408825,0.408825,0.408825,0.408825,0.0621412
11,9.728,19,10,protocol,7.5,670,7168,10.6985,1049,765,0.729266,0.618219,0.54717,0.502263,0.470915,0.420134,0.376016,0.376016,0.376016,0.376016,0.0644193
12,8.704,17,10,protocol,7.5,670,7294,10.8866,1022,791,0.773973,0.651533,0.577061,0.5251,0.483775,0.422473,0.376038,0.376038,0.376038,0.376038,0.0640981
13,6.656,13,10,protocol,7.5,670,7820,11.6716,974,774,0.794661,0.656432,0.577112,0.541838,0.505535,0.448692,0.399489,0.399489,0.399489,0.399489,0.0655472
14,8.704,17,10,protocol,7.5,670,7457,11.1299,970,741,0.763918,0.609804,0.547217,0.511963,0.469578,0.421837,0.377952,0.377952,0.377952,0.377952,0.0650558
