SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,670,4549,6.78955,792,665,0.839646,0.817829,0.74461,0.553737,0.392223,0.30849,0.259809,0.259809,0.259809,0.259809,0.0556992
3,1.536,3,10,protocol,7.5,670,4676,6.9791,854,751,0.879391,0.813606,0.73575,0.545614,0.394666,0.30973,0.264525,0.264525,0.264525,0.264525,0.0586894
4,2.048,4,10,protocol,7.5,670,5030,7.50746,953,865,0.90766,0.850811,0.762642,0.573422,0.411721,0.326369,0.281068,0.281068,0.281068,0.281068,0.0552324
5,6.656,13,10,protocol,7.5,670,5201,7.76269,998,933,0.93487,0.87554,0.768504,0.577099,0.417684,0.333035,0.289105,0.289105,0.289105,0.289105,0.0583145
6,7.168,14,10,protocol,7.5,670,5175,7.72388,971,835,0.859938,0.806564,0.730015,0.555579,0.40935,0.328488,0.284434,0.284434,0.284434,0.284434,0.0578958
7,5.12,10,10,protocol,7.5,670,5255,7.84328,988,870,0.880567,0.810455,0.715433,0.551659,0.408155,0.332595,0.285691,0.285691,0.285691,0.285691,0.0600407
8,6.656,13,10,protocol,7.5,670,5533,8.25821,914,799,0.874179,0.804531,0.726403,0.570498,0.425714,0.349306,0.297681,0.297681,0.297681,0.297681,0.059621
9,4.096,8,10,protocol,7.5,670,5404,8.06567,926,849,0.916847,0.801435,0.695788,0.549378,0.411796,0.336425,0.286214,0.286214,0.286214,0.286214,0.0614485
10,4.096,8,10,protocol,7.5,670,5657,8.44328,1010,890,0.881188,0.813659,0.702445,0.566235,0.426782,0.347013,0.297878,0.297878,0.297878,0.297878,0.0609755
11,4.608,9,10,protocol,7.5,670,5489,8.19254,1049,921,0.877979,0.785083,0.690508,0.539256,0.412521,0.330483,0.28794,0.28794,0.28794,0.28794,0.0631907
12,6.144,12,10,protocol,7.5,670,5810,8.67164,1022,935,0.914873,0.81926,0.734494,0.567179,0.43342,0.343056,0.299531,0.299531,0.299531,0.299531,0.0626103
13,5.12,10,10,protocol,7.5,670,5674,8.46866,974,862,0.88501,0.800553,0.712453,0.552688,0.413195,0.332143,0.28986,0.28986,0.28986,0.28986,0.0636377
14,4.096,8,10,protocol,7.5,670,5661,8.44925,970,839,0.864948,0.789916,0.705977,0.549407,0.406652,0.325832,0.286923,0.286923,0.286923,0.286923,0.0631826
