BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,AverageRoutingGoodputKbps,MacPhyOverhead

0.556164,0.39012,0.32204,0.287233,0.259046,0.231474,0.202627,0.202627,0.202627,0.202627,8.43919,0.0661756
0.7787,0.648336,0.529216,0.388287,0.293384,0.239906,0.204911,0.204911,0.204911,0.204911,11.023,0.0786241

0.503517,0.353793,0.291076,0.258541,0.231878,0.205747,0.179693,0.179693,0.179693,0.179693,2.65548,8.80335
0.76818,0.648936,0.528813,0.385447,0.291076,0.238018,0.203298,0.203298,0.203298,0.203298,8.12688,0.117254

0.46368,0.310707,0.250898,0.220731,0.196763,0.174323,0.152181,0.152181,0.152181,0.152181,5.04986,0.0938664
0.727517,0.595631,0.477501,0.347702,0.262662,0.214784,0.183453,0.183453,0.183453,0.183453,6.9186,0.145763

0,0,0,0,0,0,0,0,0,0,18.6191,258.942
0,0,0,0,0,0,0,0,0,0,11.9702,99.2945










