SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,1360,15764,11.5912,3218,2737,0.850528,0.743062,0.620696,0.449515,0.322524,0.256818,0.216052,0.216052,0.216052,0.216052,0.0563086
3,1.024,2,10,protocol,7.5,1360,15870,11.6691,3425,2894,0.844964,0.731771,0.60571,0.442008,0.31567,0.254339,0.21457,0.21457,0.21457,0.21457,0.0631545
4,2.048,4,10,protocol,7.5,1360,16223,11.9287,3547,2978,0.839583,0.72749,0.600566,0.440771,0.316343,0.256458,0.216636,0.216636,0.216636,0.216636,0.058701
5,6.144,12,10,protocol,7.5,1360,15752,11.5824,3362,2835,0.843248,0.715868,0.57956,0.412684,0.302609,0.245492,0.207203,0.207203,0.207203,0.207203,0.062355
6,8.192,16,10,protocol,7.5,1360,16845,12.386,3227,2671,0.827704,0.720825,0.597704,0.429415,0.318449,0.259657,0.218525,0.218525,0.218525,0.218525,0.0603731
7,6.656,13,10,protocol,7.5,1360,17028,12.5206,3279,2736,0.834401,0.710466,0.589798,0.42417,0.316859,0.25807,0.218956,0.218956,0.218956,0.218956,0.062575
8,8.704,17,10,protocol,7.5,1360,17308,12.7265,3214,2685,0.835408,0.695429,0.583343,0.425313,0.318818,0.258599,0.220912,0.220912,0.220912,0.220912,0.0610379
9,6.144,12,10,protocol,7.5,1360,16683,12.2669,3396,2724,0.80212,0.668933,0.558041,0.407231,0.302288,0.246633,0.21009,0.21009,0.21009,0.21009,0.0626139
10,6.144,12,10,protocol,7.5,1360,18092,13.3029,3547,2923,0.824077,0.711773,0.593099,0.437871,0.325524,0.26529,0.225372,0.225372,0.225372,0.225372,0.0613445
11,4.096,8,10,protocol,7.5,1360,16494,12.1279,3610,2944,0.815512,0.679984,0.549209,0.393291,0.295041,0.239005,0.203181,0.203181,0.203181,0.203181,0.0652623
12,6.144,12,10,protocol,7.5,1360,16770,12.3309,3755,2975,0.792277,0.680678,0.554177,0.393961,0.297356,0.240921,0.204864,0.204864,0.204864,0.204864,0.065681
13,8.704,17,10,protocol,7.5,1360,17382,12.7809,3691,3013,0.81631,0.693862,0.565964,0.40546,0.305548,0.246988,0.210711,0.210711,0.210711,0.210711,0.0669971
