SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.512,1,10,protocol,7.5,2030,29298,14.4325,6824,5250,0.769343,0.634128,0.512835,0.362079,0.260496,0.207053,0.174565,0.174565,0.174565,0.174565,0.0709141
3,1.024,2,10,protocol,7.5,2030,25813,12.7158,7276,4992,0.686091,0.556422,0.441226,0.310184,0.224089,0.178959,0.151369,0.151369,0.151369,0.151369,0.0798542
4,1.024,2,10,protocol,7.5,2030,23588,11.6197,7558,4804,0.635618,0.51253,0.396666,0.27654,0.200836,0.161038,0.136314,0.136314,0.136314,0.136314,0.0814776
5,3.072,6,10,protocol,7.5,2030,26546,13.0768,7713,5203,0.674575,0.552214,0.426789,0.303172,0.221723,0.178173,0.150806,0.150806,0.150806,0.150806,0.081344
6,2.56,5,10,protocol,7.5,2030,28158,13.8709,7984,5498,0.688627,0.55586,0.438217,0.312544,0.230936,0.186509,0.157414,0.157414,0.157414,0.157414,0.0770527
7,0,0,10,protocol,7.5,2030,24356,11.998,8053,4957,0.615547,0.491622,0.377724,0.264757,0.196271,0.159157,0.134359,0.134359,0.134359,0.134359,0.0733437
8,0,0,10,protocol,7.5,2030,27037,13.3187,8189,5331,0.650995,0.513738,0.402623,0.286496,0.214871,0.173834,0.147183,0.147183,0.147183,0.147183,0.0676329
9,0,0,10,protocol,7.5,2030,22501,11.0842,8431,4791,0.56826,0.446598,0.339083,0.233949,0.176444,0.142592,0.120878,0.120878,0.120878,0.120878,0.0620919
10,0,0,10,protocol,7.5,2030,23474,11.5635,8755,5099,0.58241,0.458501,0.349087,0.240594,0.181317,0.14648,0.124406,0.124406,0.124406,0.124406,0.0568333
11,0.512,1,10,protocol,7.5,2030,23617,11.634,8784,5159,0.587318,0.460807,0.345828,0.239101,0.17984,0.145437,0.12389,0.12389,0.12389,0.12389,0.05048
12,1.024,2,10,protocol,7.5,2030,23434,11.5438,9105,5234,0.574849,0.453484,0.340517,0.235298,0.175883,0.142577,0.121674,0.121674,0.121674,0.121674,0.0454963
13,1.536,3,10,protocol,7.5,2030,24303,11.9719,9043,5394,0.596483,0.461871,0.348263,0.24317,0.180443,0.146286,0.125047,0.125047,0.125047,0.125047,0.042976
