SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,2030,7954,3.91823,6824,1753,0.256887,0.146055,0.107721,0.0865213,0.0689962,0.0560353,0.0473921,0.0473921,0.0473921,0.0473921,0.423277
3,0,0,10,protocol,7.5,2030,14208,6.99901,7276,2726,0.374656,0.228647,0.170032,0.139556,0.116945,0.0976913,0.0833167,0.0833167,0.0833167,0.0833167,0.313639
4,0,0,10,protocol,7.5,2030,16029,7.89606,7558,2942,0.389256,0.238611,0.182867,0.151121,0.128107,0.108339,0.0926307,0.0926307,0.0926307,0.0926307,0.249637
5,0,0,10,protocol,7.5,2030,22913,11.2872,7713,3365,0.436276,0.281458,0.227922,0.19788,0.17363,0.150842,0.130167,0.130167,0.130167,0.130167,0.207876
6,0.512,1,10,protocol,7.5,2030,22178,10.9251,7984,3314,0.41508,0.273936,0.220756,0.19105,0.167071,0.144396,0.123983,0.123983,0.123983,0.123983,0.178481
7,0.512,1,10,protocol,7.5,2030,23274,11.465,8053,3368,0.418229,0.271716,0.221889,0.195952,0.172611,0.149316,0.128391,0.128391,0.128391,0.128391,0.158839
8,0,0,10,protocol,7.5,2030,23426,11.5399,8189,3432,0.419099,0.26909,0.216656,0.18975,0.168634,0.147544,0.127525,0.127525,0.127525,0.127525,0.145027
9,0,0,10,protocol,7.5,2030,24000,11.8227,8431,3380,0.400901,0.267237,0.220678,0.195408,0.172202,0.149392,0.128931,0.128931,0.128931,0.128931,0.132341
10,0,0,10,protocol,7.5,2030,23634,11.6424,8755,3504,0.400228,0.265191,0.21439,0.185096,0.164594,0.14414,0.125254,0.125254,0.125254,0.125254,0.122398
11,0,0,10,protocol,7.5,2030,23889,11.768,8784,3450,0.39276,0.260155,0.210117,0.184484,0.163727,0.143872,0.125317,0.125317,0.125317,0.125317,0.114934
12,0,0,10,protocol,7.5,2030,23943,11.7946,9105,3634,0.399121,0.259378,0.20836,0.182218,0.161495,0.142322,0.124317,0.124317,0.124317,0.124317,0.108648
13,0,0,10,protocol,7.5,2030,24533,12.0852,9043,3722,0.411589,0.264557,0.215246,0.186677,0.163931,0.144516,0.12623,0.12623,0.12623,0.12623,0.103423
14,0.512,1,10,protocol,7.5,2030,23735,11.6921,9097,3614,0.397274,0.258656,0.208973,0.180364,0.157247,0.138524,0.121115,0.121115,0.121115,0.121115,0.0985121
