SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,10,protocol,7.5,2030,0,0,6824,0,0,0,0,0,0,0,0,0,0,0,1951.69
3,4.096,8,10,protocol,7.5,2030,0,0,7276,0,0,0,0,0,0,0,0,0,0,0,1384.05
4,5.632,11,10,protocol,7.5,2030,0,0,7558,0,0,0,0,0,0,0,0,0,0,0,1102.39
5,34.816,68,10,protocol,7.5,2030,0,0,7713,0,0,0,0,0,0,0,0,0,0,0,1069.27
6,13.824,27,10,protocol,7.5,2030,0,0,7984,0,0,0,0,0,0,0,0,0,0,0,1024.35
7,11.264,22,10,protocol,7.5,2030,0,0,8053,0,0,0,0,0,0,0,0,0,0,0,997.673
8,14.848,29,10,protocol,7.5,2030,0,0,8189,0,0,0,0,0,0,0,0,0,0,0,911.874
9,14.336,28,10,protocol,7.5,2030,0,0,8431,0,0,0,0,0,0,0,0,0,0,0,890.699
10,11.776,23,10,protocol,7.5,2030,0,0,8755,0,0,0,0,0,0,0,0,0,0,0,863.367
11,12.8,25,10,protocol,7.5,2030,0,0,8784,0,0,0,0,0,0,0,0,0,0,0,846.721
12,11.776,23,10,protocol,7.5,2030,0,0,9105,0,0,0,0,0,0,0,0,0,0,0,831.009
13,11.264,22,10,protocol,7.5,2030,0,0,9043,0,0,0,0,0,0,0,0,0,0,0,817.69
14,11.776,23,10,protocol,7.5,2030,0,0,9097,0,0,0,0,0,0,0,0,0,0,0,807.895
15,12.288,24,10,protocol,7.5,2030,0,0,9169,0,0,0,0,0,0,0,0,0,0,0,798.816
16,12.288,24,10,protocol,7.5,2030,0,0,9444,0,0,0,0,0,0,0,0,0,0,0,774.555
17,9.728,19,10,protocol,7.5,2030,0,0,9926,0,0,0,0,0,0,0,0,0,0,0,760.442
18,12.8,25,10,protocol,7.5,2030,0,0,9872,0,0,0,0,0,0,0,0,0,0,0,745.985
19,11.264,22,10,protocol,7.5,2030,0,0,9920,0,0,0,0,0,0,0,0,0,0,0,733.067
20,10.752,21,10,protocol,7.5,2030,0,0,9978,0,0,0,0,0,0,0,0,0,0,0,724.322
21,8.704,17,10,protocol,7.5,2030,0,0,9805,0,0,0,0,0,0,0,0,0,0,0,714.02
22,5.12,10,10,protocol,7.5,2030,0,0,9690,0,0,0,0,0,0,0,0,0,0,0,698.946
23,7.168,14,10,protocol,7.5,2030,0,0,9740,0,0,0,0,0,0,0,0,0,0,0,679.855
24,8.704,17,10,protocol,7.5,2030,0,0,9635,0,0,0,0,0,0,0,0,0,0,0,666.911
25,9.216,18,10,protocol,7.5,2030,0,0,9550,0,0,0,0,0,0,0,0,0,0,0,658.209
26,6.656,13,10,protocol,7.5,2030,0,0,9498,0,0,0,0,0,0,0,0,0,0,0,641.901
27,7.168,14,10,protocol,7.5,2030,0,0,9304,0,0,0,0,0,0,0,0,0,0,0,628.956
28,9.216,18,10,protocol,7.5,2030,0,0,9657,0,0,0,0,0,0,0,0,0,0,0,618.97
29,5.632,11,10,protocol,7.5,2030,0,0,9660,0,0,0,0,0,0,0,0,0,0,0,610.336
